"Animal Number","Animal Tag Id","Animal Life No. ","Lactation Days","Day Production","Date","Rumination Minutes","Intake Total","Rest Feed","Failures","Milkings","Fat/Protein Ratio","SCC Indication","Refusals","Day production Dev."
"80","3086149","DD1406","325","71.6","2026-04-04","421","16.25","0.26","1","3","1.31","1951","20","10.14"
"205","5925505","DD1413","252","58.0","2026-04-03","535","15.17","0.24","0","3","1.35","","1","0.66"
"205","5925505","DD1413","253","58.6","2026-04-04","529","11.15","0.16","0","2","1.32","","1","0.88"
"101","3087282","DD1272","232","96.8","2026-04-03","574","13.33","4.59","0","2","1.41","","0","2.20"
"101","3087282","DD1272","233","93.9","2026-04-04","474","20.00","0.32","0","3","1.45","","0","-0.22"
"246","3086605","DD1411","443","","2026-04-03","283","","","","","","","",""
"246","3086605","DD1411","444","","2026-04-04","581","","","","","","","",""
"57","3087322","DD1285","129","83.6","2026-04-03","539","13.05","1.13","0","2","1.44","","1","0.88"
"57","3087322","DD1285","130","82.2","2026-04-04","665","13.40","3.80","0","2","1.27","","0","-1.10"
"132","3087361","DD1311","463","","2026-04-03","177","","","","","","","",""
"132","3087361","DD1311","464","","2026-04-04","373","","","","","","","",""
"173","3542711","DD1321","18","123.0","2026-04-03","700","23.21","1.08","0","5","1.09","1318","0","20.50"
"173","3542711","DD1321","19","112.0","2026-04-04","656","22.14","0.47","0","4","1.09","69","0","7.94"
"63","3086272","DD1423","323","64.2","2026-04-03","515","12.68","0.22","0","3","1.33","555","1","2.87"
"63","3086272","DD1423","324","60.0","2026-04-04","532","13.93","0.22","0","3","1.32","522","3","-1.54"
"29","3086671","DD1595","283","57.1","2026-04-03","439","6.67","1.99","0","1","1.06","","0","-3.09"
"29","3086671","DD1595","284","60.6","2026-04-04","374","12.56","0.45","0","2","1.06","","0","0.66"
"93","3086243","DD1425","331","83.6","2026-04-03","512","17.02","0.29","0","4","1.31","38","0","0.44"
"93","3086243","DD1425","332","82.2","2026-04-04","558","12.80","0.22","0","3","1.30","25","1","-0.66"
"149","3087997","DD1416","323","68.1","2026-04-03","522","10.09","0.26","0","2","1.32","","0","3.53"
"149","3087997","DD1416","324","65.7","2026-04-04","569","17.92","0.32","0","3","1.30","","0","0.88"
"83","6641288","DD1426","206","100.5","2026-04-03","640","20.65","0.39","0","4","1.35","105","0","0.22"
"83","6641288","DD1426","207","102.5","2026-04-04","602","15.48","0.25","0","3","1.40","100","2","2.43"
"46","3351614","DD1415","227","100.1","2026-04-03","551","14.17","0.29","0","3","1.17","80","1","6.17"
"46","3351614","DD1415","228","91.0","2026-04-04","599","19.76","0.39","0","4","1.18","40","4","-2.20"
"21","3087503","DD1420","280","94.4","2026-04-03","489","18.99","0.39","0","3","1.44","124","0","-0.22"
"21","3087503","DD1420","281","91.9","2026-04-04","450","17.32","0.29","0","3","1.43","167","0","-1.76"
"190","3353629","US DD1432","200","62.2","2026-04-03","423","13.21","0.40","0","3","1.43","42","3","-5.51"
"190","3353629","US DD1432","201","65.7","2026-04-04","599","16.01","0.26","0","4","1.56","34","6","-1.32"
"92","3087516","DD1433","180","87.3","2026-04-03","474","13.33","4.95","0","2","1.15","2390","0","-10.36"
"92","3087516","DD1433","181","89.9","2026-04-04","532","12.32","2.89","0","2","1.21","3115","0","-7.05"
"78","3087494","DD1435","66","103.4","2026-04-03","554","20.00","1.94","0","3","1.03","2287","1","-4.41"
"78","3087494","DD1435","67","97.9","2026-04-04","608","18.51","0.39","0","4","1.13","2567","5","-9.92"
"103","3087255","DD1438","18","138.4","2026-04-03","690","24.17","0.64","0","5","1.18","29","0","10.36"
"103","3087255","DD1438","19","146.2","2026-04-04","630","20.48","0.59","0","5","1.22","29","3","14.77"
"62","3087292","US DD1627","188","105.4","2026-04-03","605","16.43","0.27","0","3","1.30","28","0","1.98"
"62","3087292","US DD1627","189","97.7","2026-04-04","620","17.02","0.29","0","4","1.28","29","3","-5.51"
"211","6641911","DD1440","339","90.4","2026-04-03","521","13.40","1.75","0","2","1.34","","0","-7.05"
"211","6641911","DD1440","340","87.5","2026-04-04","572","23.35","0.42","0","4","1.42","","2","-9.26"
"271","6642304","DD1441","153","74.7","2026-04-03","512","18.51","1.10","0","3","1.33","50","0","-1.76"
"271","6642304","DD1441","154","74.3","2026-04-04","501","15.54","0.30","0","3","1.40","91","0","-1.76"
"115","3087667","DD1442","0","29.1","2026-04-03","223","2.02","1.22","0","2","1.05","","3","0.00"
"115","3087667","DD1442","1","38.6","2026-04-04","382","5.00","0.09","0","3","1.20","","2","4.85"
"123","3086581","DD1443","306","54.0","2026-04-03","538","11.92","1.46","0","2","1.62","","1","-1.54"
"123","3086581","DD1443","307","47.6","2026-04-04","586","12.98","1.68","0","2","1.61","","2","-7.28"
"1063","","DD1444","","","2026-04-03","","","","","","","","",""
"1063","","DD1444","","","2026-04-04","","","","","","","","",""
"139","3087241","DD1445","236","73.2","2026-04-03","518","15.10","0.20","0","3","1.02","","1","9.04"
"139","3087241","DD1445","237","68.3","2026-04-04","508","15.80","0.18","0","3","1.07","","1","3.97"
"268","6641401","DD1446","294","86.6","2026-04-03","495","17.62","0.34","0","4","1.21","51","8","-4.19"
"268","6641401","DD1446","295","87.5","2026-04-04","499","16.31","0.29","0","4","1.18","43","14","-3.09"
"71","3087258","DD1447","365","108.2","2026-04-03","427","17.68","0.44","0","4","1.36","63","1","1.98"
"71","3087258","DD1447","366","99.6","2026-04-04","507","16.67","0.40","0","4","1.38","63","12","-5.95"
"6","3087355","DD1449","319","105.8","2026-04-03","467","17.26","0.34","0","3","1.32","25","0","3.75"
"6","3087355","DD1449","320","100.1","2026-04-04","496","13.33","1.36","0","2","1.34","25","0","-1.98"
"56","3086452","DD1453","222","57.8","2026-04-03","463","12.38","0.90","0","2","1.45","","0","-3.31"
"56","3086452","DD1453","223","59.5","2026-04-04","537","16.19","0.95","0","3","1.50","110","1","-1.32"
"222","6632589","DD1455","231","96.6","2026-04-03","445","17.80","0.38","0","3","1.40","1128","0","0.66"
"222","6632589","DD1455","232","91.3","2026-04-04","605","15.42","0.31","0","3","1.45","1128","0","-4.63"
"73","3542905","DD1328","192","81.1","2026-04-03","490","11.43","0.12","0","2","1.24","1136","1","2.43"
"73","3542905","DD1328","193","70.8","2026-04-04","419","13.27","4.89","0","2","1.29","836","0","-10.58"
"1081","","DD1459","","","2026-04-03","","","","","","","","",""
"1081","","DD1459","","","2026-04-04","","","","","","","","",""
"14","3087979","DD1332","196","88.0","2026-04-03","605","19.23","0.48","0","4","1.13","53","1","5.07"
"14","3087979","DD1332","197","83.3","2026-04-04","580","10.60","0.20","0","2","1.14","53","3","0.44"
"118","3087755","US DD1456","325","103.8","2026-04-03","469","17.56","0.37","0","4","1.34","83","1","1.76"
"118","3087755","US DD1456","326","99.6","2026-04-04","484","17.62","0.37","1","3","1.34","91","2","-1.76"
"45","3086129","DD1462","328","","2026-04-03","372","","","","","","","",""
"45","3086129","DD1462","329","","2026-04-04","556","","","","","","","",""
"269","6642024","DD1463","650","","2026-04-03","512","","","","","","","",""
"269","6642024","DD1463","651","","2026-04-04","542","","","","","","","",""
"143","3183515","DD1467","232","99.6","2026-04-03","507","19.94","0.35","0","4","1.44","115","0","5.07"
"143","3183515","DD1467","233","94.6","2026-04-04","542","16.73","0.35","0","4","1.47","99","2","0.00"
"199","6633146","DD1470","200","114.9","2026-04-03","440","17.20","0.24","0","3","1.20","394","0","-0.66"
"199","6633146","DD1470","201","105.2","2026-04-04","526","18.21","3.09","0","3","1.20","463","0","-9.26"
"23","3087231","DD1471","360","74.1","2026-04-03","541","14.25","0.24","0","3","1.35","","15","0.44"
"23","3087231","DD1471","361","69.4","2026-04-04","537","13.33","0.22","0","3","1.39","","16","-3.97"
"69","3087141","DD1473","316","108.7","2026-04-03","542","16.73","0.32","0","4","1.20","58","3","5.51"
"69","3087141","DD1473","317","100.5","2026-04-04","525","19.76","0.40","0","5","1.19","44","6","-2.87"
"127","3086217","DD1474","198","62.4","2026-04-03","482","13.33","2.17","0","2","1.32","","0","-0.44"
"127","3086217","DD1474","199","60.2","2026-04-04","485","16.96","0.29","0","3","1.34","146","0","-2.20"
"94","3087594","DD1476","189","79.4","2026-04-03","547","19.11","0.34","0","3","1.25","150","0","1.54"
"94","3087594","DD1476","190","76.3","2026-04-04","636","10.30","1.98","0","2","1.20","150","0","-1.32"
"26","3087118","DD1478","238","119.3","2026-04-03","594","18.69","0.28","0","3","1.08","43","0","3.53"
"26","3087118","DD1478","239","110.4","2026-04-04","566","21.96","0.46","0","5","1.10","43","5","-4.85"
"108","3542732","DD1479","230","107.1","2026-04-03","541","20.00","2.39","0","3","1.42","153","0","3.53"
"108","3542732","DD1479","231","103.4","2026-04-04","548","13.33","1.53","0","2","1.40","94","0","0.00"
"202","3087167","DD1480","97","76.3","2026-04-03","531","13.21","2.39","0","2","1.38","13","0","-18.96"
"202","3087167","DD1480","98","103.4","2026-04-04","600","20.00","1.58","0","3","1.28","13","0","7.28"
"162","5926949","DD1482","201","85.8","2026-04-03","537","16.19","0.40","0","4","1.35","48","1","2.87"
"162","5926949","DD1482","202","86.4","2026-04-04","501","14.11","0.30","0","3","1.29","48","1","3.09"
"152","3353711","DD1484","81","109.8","2026-04-03","567","20.04","0.39","0","3","1.47","","0","2.43"
"152","3353711","DD1484","82","105.8","2026-04-04","517","18.48","0.34","0","3","1.51","","0","-1.32"
"1108","","DD1485","","","2026-04-03","","","","","","","","",""
"1108","","DD1485","","","2026-04-04","","","","","","","","",""
"124","3087250","DD1486","214","69.2","2026-04-03","457","11.67","2.16","0","2","1.43","78","1","-14.33"
"124","3087250","DD1486","215","71.9","2026-04-04","441","16.85","0.25","0","3","1.57","74","3","-10.58"
"98","3087882","DD1487","107","116.2","2026-04-03","593","12.62","1.01","0","2","1.20","","0","-9.48"
"98","3087882","DD1487","108","123.5","2026-04-04","565","25.00","0.94","0","4","1.15","184","0","-3.09"
"49","3086283","DD1488","360","","2026-04-03","317","","","","","","","",""
"49","3086283","DD1488","361","","2026-04-04","515","","","","","","","",""
"31","3087281","DD1394","101","103.6","2026-04-03","559","16.85","0.37","0","4","1.09","465","0","5.73"
"31","3087281","DD1394","102","100.3","2026-04-04","535","18.27","0.44","0","4","1.06","113","4","3.31"
"142","3086184","DD1376","529","","2026-04-03","357","","","","","","","",""
"142","3086184","DD1376","530","","2026-04-04","580","","","","","","","",""
"97","3088051","DD1373","474","0.0","2026-04-03","320","","","0","0","","","1","0.00"
"97","3088051","DD1373","475","0.0","2026-04-04","321","","","0","0","","","1","0.00"
"40","3087510","DD1397","131","101.2","2026-04-03","581","19.40","0.92","0","3","1.09","","0","4.63"
"40","3087510","DD1397","132","95.0","2026-04-04","563","19.82","0.32","0","3","1.17","381","0","-1.54"
"116","3086998","DD1407","370","","2026-04-03","205","","","","","","","",""
"116","3086998","DD1407","371","","2026-04-04","504","","","","","","","",""
"35","3087215","DD1400","375","","2026-04-03","431","","","","","","","",""
"35","3087215","DD1400","376","","2026-04-04","661","","","","","","","",""
"133","3087396","DD1374","224","73.2","2026-04-03","592","19.23","2.16","0","3","1.26","27","0","-1.32"
"133","3087396","DD1374","225","74.1","2026-04-04","582","13.33","0.66","0","2","1.25","27","0","-0.22"
"28","3087460","DD1380","152","59.5","2026-04-03","538","17.02","0.23","0","3","1.28","","0","-2.65"
"28","3087460","DD1380","153","60.8","2026-04-04","490","9.58","0.13","0","2","1.35","38","0","-1.32"
"91","3087334","US DD1396","450","66.6","2026-04-03","507","14.94","0.22","0","3","1.35","128","5","1.98"
"91","3087334","US DD1396","451","63.3","2026-04-04","492","13.10","0.22","0","3","1.37","135","5","-2.20"
"151","3086706","DD1489","","","2026-04-03","301","","","","","","","",""
"151","3086706","DD1489","","","2026-04-04","397","","","","","","","",""
"24","3086116","DD1490","119","89.3","2026-04-03","555","19.88","0.34","0","3","1.29","88","3","-7.50"
"24","3086116","DD1490","120","98.5","2026-04-04","557","16.25","0.27","0","3","1.17","111","0","1.54"
"95","3086498","DD1493","275","68.6","2026-04-03","565","12.02","2.48","0","2","1.63","88","0","-8.60"
"95","3086498","DD1493","276","65.7","2026-04-04","561","12.20","3.45","0","2","1.64","129","0","-10.58"
"32","3087545","DD1494","102","113.8","2026-04-03","529","21.79","0.44","0","4","1.21","37","0","-3.09"
"32","3087545","DD1494","103","108.5","2026-04-04","513","18.93","0.43","0","5","1.18","34","1","-7.94"
"47","3087308","DD1495","41","154.3","2026-04-03","597","19.23","0.57","0","4","1.12","22","5","1.76"
"47","3087308","DD1495","42","139.8","2026-04-04","570","22.80","0.65","0","5","1.04","24","9","-12.13"
"234","6635136","DD1496","192","96.3","2026-04-03","581","17.26","0.51","0","4","1.17","65","5","3.09"
"234","6635136","DD1496","193","89.3","2026-04-04","508","17.32","0.36","0","4","1.30","67","8","-3.31"
"250","6635110","DD1500","240","58.2","2026-04-03","653","12.20","0.21","0","2","1.35","","0","0.66"
"250","6635110","DD1500","241","57.5","2026-04-04","625","12.56","0.21","0","2","1.35","","0","-0.22"
"72","3087950","DD1501","51","91.0","2026-04-03","507","18.45","2.27","0","3","0.93","25","0","2.65"
"72","3087950","DD1501","52","93.7","2026-04-04","491","14.82","0.26","1","2","0.92","27","0","4.85"
"125","3087179","DD1502","341","43.7","2026-04-03","459","5.86","1.34","0","1","1.30","","2","-0.22"
"125","3087179","DD1502","342","41.2","2026-04-04","559","11.78","3.23","0","2","1.31","","0","-2.43"
"50","3086511","DD1503","261","71.0","2026-04-03","600","14.89","0.22","0","3","1.34","","0","0.66"
"50","3086511","DD1503","262","67.2","2026-04-04","541","13.83","0.19","0","3","1.39","","2","-2.87"
"77","3086851","DD1365","43","64.8","2026-04-03","592","19.05","1.00","0","3","1.50","","1","3.31"
"77","3086851","DD1365","44","71.9","2026-04-04","416","11.85","0.22","1","2","1.59","","0","10.80"
"172","3351267","DD1505","239","66.4","2026-04-03","425","10.51","0.14","0","2","1.22","","0","-4.63"
"172","3351267","DD1505","240","66.8","2026-04-04","536","15.66","0.20","0","3","1.24","","1","-3.53"
"220","6633304","DD1506","413","","2026-04-03","241","","","","","","","",""
"220","6633304","DD1506","414","","2026-04-04","437","","","","","","","",""
"213","6635043","DD1507","261","72.8","2026-04-03","544","13.33","0.20","0","2","1.33","","1","-3.75"
"213","6635043","DD1507","262","72.5","2026-04-04","581","14.60","0.30","0","3","1.31","","5","-3.31"
"53","3086247","DD1508","267","83.8","2026-04-03","570","12.92","0.18","0","2","1.20","90","0","-4.19"
"53","3086247","DD1508","268","85.1","2026-04-04","567","20.24","0.31","0","4","1.20","44","0","-2.20"
"55","3183487","DD1510","275","46.5","2026-04-03","327","11.43","1.20","0","2","1.26","","0","1.54"
"55","3183487","DD1510","276","43.4","2026-04-04","392","11.01","0.36","0","2","1.25","","1","-1.32"
"214","6635135","DD1511","293","76.5","2026-04-03","528","14.25","0.22","0","3","1.31","","0","2.43"
"214","6635135","DD1511","294","70.8","2026-04-04","563","18.41","0.25","0","4","1.33","","8","-3.09"
"1141","","DD1512","","","2026-04-03","","","","","","","","",""
"1141","","DD1512","","","2026-04-04","","","","","","","","",""
"183","3087417","DD1513","263","92.2","2026-04-03","589","17.92","0.36","0","4","1.32","","4","1.54"
"183","3087417","DD1513","264","87.5","2026-04-04","521","16.01","0.35","0","4","1.36","","4","-3.31"
"41","3087391","DD1514","271","88.4","2026-04-03","494","15.87","0.37","0","4","1.26","","3","4.85"
"41","3087391","DD1514","272","84.2","2026-04-04","505","15.24","0.24","0","3","1.25","","5","1.10"
"808","3087269","DD1521","232","74.5","2026-04-03","486","15.45","0.22","0","3","1.36","","2","0.88"
"808","3087269","DD1521","233","69.9","2026-04-04","504","13.54","0.20","0","3","1.37","","2","-3.75"
"87","3087609","DD1522","292","87.3","2026-04-03","560","9.81","0.13","0","2","1.58","","7","-1.32"
"87","3087609","DD1522","293","81.8","2026-04-04","511","9.38","0.28","0","2","1.57","","30","-6.83"
"82","3087220","DD1523","277","47.6","2026-04-03","610","11.78","0.52","0","2","1.39","","0","5.07"
"82","3087220","DD1523","278","","2026-04-04","599","0.00","12.41","","","","","",""
"803","5927959","DD1524","252","61.1","2026-04-03","601","11.50","2.67","0","2","1.30","","0","-2.20"
"803","5927959","DD1524","253","60.8","2026-04-04","654","13.33","0.13","0","2","1.33","","0","-1.76"
"140","3352078","DD1525","249","60.0","2026-04-03","473","9.59","0.16","0","2","1.32","","11","2.65"
"140","3352078","DD1525","250","54.9","2026-04-04","506","15.38","0.22","0","3","1.34","","2","-2.20"
"158","3087680","DD1528","265","72.8","2026-04-03","510","13.90","0.26","0","3","1.17","","2","-0.66"
"158","3087680","DD1528","266","70.3","2026-04-04","515","13.26","0.22","0","3","1.15","","5","-2.87"
"1157","","DD1529","","","2026-04-03","","","","","","","","",""
"1157","","DD1529","","","2026-04-04","","","","","","","","",""
"206","3543433","DD1530","252","50.3","2026-04-03","535","12.26","0.51","0","2","1.59","63","0","-9.92"
"206","3543433","DD1530","253","51.1","2026-04-04","560","12.32","1.34","0","2","1.60","56","1","-8.16"
"1162","","DD1533","","","2026-04-03","","","","","","","","",""
"1162","","DD1533","","","2026-04-04","","","","","","","","",""
"804","3087379","US DD1393","405","43.4","2026-04-03","539","11.25","0.16","0","3","1.14","23","1","3.09"
"804","3087379","US DD1393","406","38.6","2026-04-04","560","12.14","0.16","0","3","1.15","14","2","-1.76"
"48","3087565","DD1534","236","65.7","2026-04-03","416","15.03","0.22","0","3","1.24","","4","0.44"
"48","3087565","DD1534","237","63.1","2026-04-04","450","13.83","0.23","0","3","1.26","","13","-1.98"
"148","3087735","DD1535","276","71.6","2026-04-03","543","13.33","5.02","0","2","1.22","","0","-4.63"
"148","3087735","DD1535","277","65.3","2026-04-04","517","17.80","0.30","0","4","1.29","516","3","-10.80"
"262","6634652","DD1537","281","56.7","2026-04-03","440","13.05","1.78","0","2","1.30","","0","-2.20"
"262","6634652","DD1537","282","59.5","2026-04-04","514","16.30","0.86","0","3","1.36","","0","0.66"
"1169","","DD1539","","","2026-04-03","","","","","","","","",""
"1169","","DD1539","","","2026-04-04","","","","","","","","",""
"134","3087229","DD1540","153","65.0","2026-04-03","429","10.95","0.26","0","2","1.30","165","0","-3.53"
"134","3087229","DD1540","154","68.3","2026-04-04","493","17.20","0.52","0","4","1.25","70","2","0.00"
"7","3087274","DD1542","268","58.9","2026-04-03","576","10.72","0.17","0","2","1.60","","0","2.43"
"7","3087274","DD1542","269","56.0","2026-04-04","584","12.06","0.78","0","2","1.60","","3","-0.44"
"207","3086128","DD1543","255","75.6","2026-04-03","600","12.13","0.29","0","3","1.04","","1","2.43"
"207","3086128","DD1543","256","70.3","2026-04-04","633","17.07","0.25","0","4","1.14","","2","-2.87"
"1174","","DD1544","","","2026-04-03","","","","","","","","",""
"1174","","DD1544","","","2026-04-04","","","","","","","","",""
"15","3087121","DD1546","276","57.1","2026-04-03","512","11.99","0.18","0","2","1.33","","0","-0.88"
"15","3087121","DD1546","277","55.8","2026-04-04","412","14.32","0.26","0","3","1.35","","4","-1.98"
"135","3086678","DD1547","446","0.0","2026-04-03","496","","","0","0","","","2","0.00"
"135","3086678","DD1547","447","0.0","2026-04-04","573","","","0","0","","","4","0.00"
"159","3087807","DD1548","289","87.5","2026-04-03","433","14.60","0.26","0","3","1.45","","0","-1.10"
"159","3087807","DD1548","290","84.2","2026-04-04","433","16.44","0.27","0","3","1.41","","1","-3.97"
"61","3086148","DD1550","256","61.1","2026-04-03","453","10.16","0.16","0","2","1.34","","1","0.88"
"61","3086148","DD1550","257","57.3","2026-04-04","530","15.80","0.29","0","3","1.38","","2","-2.43"
"155","3086104","DD1551","286","52.7","2026-04-03","478","13.54","0.23","0","3","1.19","","1","-5.07"
"155","3086104","DD1551","287","55.6","2026-04-04","452","13.26","0.17","0","3","1.29","","8","-1.98"
"1183","","DD1553","","","2026-04-03","","","","","","","","",""
"1183","","DD1553","","","2026-04-04","","","","","","","","",""
"1184","","US DD1554","","","2026-04-03","","","","","","","","",""
"1184","","US DD1554","","","2026-04-04","","","","","","","","",""
"106","3087159","US DD1556","","","2026-04-03","143","","","","","","","",""
"106","3087159","US DD1556","","","2026-04-04","188","","","","","","","",""
"20","3086114","DD1558","143","55.6","2026-04-03","568","11.50","1.45","0","2","1.23","","0","-0.22"
"20","3086114","DD1558","144","50.5","2026-04-04","455","11.92","1.97","0","2","1.19","","0","-5.29"
"74","3087864","US DD1559","256","62.2","2026-04-03","510","14.96","0.17","0","3","1.40","","6","1.10"
"74","3087864","US DD1559","257","60.6","2026-04-04","573","14.96","0.19","0","3","1.41","","4","-0.44"
"264","6633230","US DD1560","269","55.8","2026-04-03","527","12.91","0.23","0","2","1.28","","0","-1.32"
"264","6633230","US DD1560","270","53.6","2026-04-04","498","12.20","0.54","0","2","1.31","","0","-3.31"
"165","5925519","US DD1563","281","53.8","2026-04-03","517","12.84","0.50","0","2","1.33","","0","-3.97"
"165","5925519","US DD1563","282","55.1","2026-04-04","625","13.40","0.25","0","2","1.34","","0","-2.20"
"186","3087125","US DD1564","243","82.0","2026-04-03","628","17.92","0.33","0","4","1.27","","3","-3.09"
"186","3087125","US DD1564","244","77.8","2026-04-04","599","16.51","0.32","0","4","1.33","","3","-6.83"
"84","3086109","US DD1565","247","108.0","2026-04-03","520","17.92","0.38","0","3","1.18","","1","3.09"
"84","3086109","US DD1565","248","98.3","2026-04-04","547","19.26","0.41","0","4","1.17","","3","-6.39"
"25","3087364","US DD1567","274","37.0","2026-04-03","388","9.31","0.13","0","2","1.42","","7","-2.87"
"25","3087364","US DD1567","275","38.1","2026-04-04","303","8.82","0.87","0","2","1.45","","0","-1.54"
"168","3183540","US DD1568","250","95.0","2026-04-03","566","17.26","0.29","0","3","1.21","85","0","-1.10"
"168","3183540","US DD1568","251","96.1","2026-04-04","559","16.07","0.26","0","3","1.20","71","3","0.44"
"1200","","US DD1569","","","2026-04-03","","","","","","","","",""
"1200","","US DD1569","","","2026-04-04","","","","","","","","",""
"1201","","US DD1570","","","2026-04-03","","","","","","","","",""
"1201","","US DD1570","","","2026-04-04","","","","","","","","",""
"10","3086174","US DD1571","262","64.2","2026-04-03","494","13.40","1.15","0","2","1.29","","4","-9.04"
"10","3086174","US DD1571","263","65.5","2026-04-04","545","13.40","0.19","0","2","1.30","","4","-7.28"
"345","3184368","US DD1572","10","54.2","2026-04-03","483","14.53","0.52","11","1","1.01","","5","21.38"
"345","3184368","US DD1572","11","59.3","2026-04-04","464","12.68","0.54","8","3","0.96","","9","21.60"
"263","6634659","US DD1573","147","41.4","2026-04-03","458","15.66","0.16","0","3","1.20","","0","1.98"
"263","6634659","US DD1573","148","40.1","2026-04-04","438","10.23","0.12","0","2","1.18","","0","0.22"
"99","3352005","US DD1585","239","67.0","2026-04-03","514","12.63","0.26","0","2","1.29","","0","2.43"
"99","3352005","US DD1585","240","63.3","2026-04-04","523","16.37","0.20","0","3","1.30","","1","-1.10"
"185","3087303","US DD1586","235","51.6","2026-04-03","576","18.20","0.65","3","2","1.03","","0","-14.77"
"185","3087303","US DD1586","236","51.8","2026-04-04","594","12.84","0.31","3","1","0.87","","3","-13.45"
"1219","","US DD1589","","","2026-04-03","","","","","","","","",""
"1219","","US DD1589","","","2026-04-04","","","","","","","","",""
"1220","","US DD1590","","","2026-04-03","","","","","","","","",""
"1220","","US DD1590","","","2026-04-04","","","","","","","","",""
"1222","","US DD1600","","","2026-04-03","","","","","","","","",""
"1222","","US DD1600","","","2026-04-04","","","","","","","","",""
"1223","","US DD1601","","","2026-04-03","","","","","","","","",""
"1223","","US DD1601","","","2026-04-04","","","","","","","","",""
"90","3087156","DD1599","3","20.5","2026-04-03","337","3.03","4.06","0","1","1.19","","1","-4.63"
"90","3087156","DD1599","4","23.1","2026-04-04","448","2.75","0.60","0","1","1.21","","0","1.32"
"13","3086569","US DD1602","212","69.4","2026-04-03","607","12.50","0.38","0","3","1.08","591","1","0.22"
"13","3086569","US DD1602","213","67.2","2026-04-04","548","12.02","0.20","0","3","1.18","650","2","-1.98"
"255","6635055","US DD1603","135","78.7","2026-04-03","571","15.03","0.26","0","3","1.19","","1","3.31"
"255","6635055","US DD1603","136","69.9","2026-04-04","621","18.06","0.25","0","3","1.14","","1","-4.85"
"147","3086154","US DD1604","609","41.2","2026-04-03","435","10.06","1.14","0","2","1.17","128","0","-0.22"
"147","3086154","US DD1604","610","39.9","2026-04-04","598","12.32","0.20","0","3","1.15","73","0","-1.32"
"1226","","US DD1605","","","2026-04-03","","","","","","","","",""
"1226","","US DD1605","","","2026-04-04","","","","","","","","",""
"156","3085889","US DD1607","230","81.8","2026-04-03","556","12.20","2.32","0","2","1.22","186","1","-3.97"
"156","3085889","US DD1607","231","90.6","2026-04-04","522","19.58","0.25","0","4","1.24","73","1","4.19"
"88","3087586","US DD1608","9","58.0","2026-04-03","532","12.06","0.37","0","3","1.10","","6","11.68"
"88","3087586","US DD1608","10","60.6","2026-04-04","555","13.76","0.43","0","3","1.09","","5","10.80"
