"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Conductivity","","","","","","","","","","","",""
"20049","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","501","","","","","","11","Young stock"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","501","","","","","","11","Young stock"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","501","","","","","","11","Young stock"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","501","","","","","","11","Young stock"
"0","","","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","501","","","","","","11","Young stock"
"1473","","DD 1992","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","501","","","","","","11","Young stock"
"22","3087348","DD1022","2026-04-06","289","28.9","212","4","","2.5","1.6","1.61","0","28.9","-2.4","- |  - |  - |  -","","","","9.46","0.42","82","Pregnant","Vet ck-pg","2025-12-19","181","","2","2025-12-19","Pregnant","87","89","82","0","100.0","501","0","x","5","515","102","103","South Milking Cows"
"66","3087248","DD1170","2026-04-06","102","88.2","51","78","","3.0","2.4","1.22","1","88.2","-7.1","- |  - |  - |  [] Mastitis","","","","20.77","0.44","41","Metritis","Vet ck-reck dirty-clean","2026-02-20","44","","1","","","70","71","109","70","101.3","501","0","","11","483","101","103","South Milking Cows"
"166","5927463","DD1171","","467","","112","35","","2.8","2.0","1.23","2","","-0.9","[] Mastitis |  - |  [] Mastitis |  -","2025-12-25","","","","","","Pregnant","Vet ck-pg","2025-09-19","263","x","6","2025-09-19","Pregnant","112","90","90","102","97.3","501","0","","2","609","101","8","Dry Cows"
"96","3087977","DD1196","2026-04-06","228","69.7","408","0","","2.1","2.3","1.24","0","69.7","-6.8","- |  - |  - |  -","","","","13.10","0.22","73","Fertility cycling","Vet ck-57+DIM-stat left,CL right,lut, offsync in 5 days if no heat.","2026-02-20","5","","2","2026-01-16","Not Pregnant","69","69","70","0","102.7","501","0","","0","580","101","103","South Milking Cows"
"42","3087165","DD1262","2026-04-06","143","27.3","333","25","","2.9","1.6","1.38","0","27.3","15.4","- |  - |  [] Mastitis |  -","","","","13.10","0.15","1419","","","","37","","2","","","78","80","0","91","99.3","501","0","","13","568","102","103","South Milking Cows"
"101","3087282","DD1272","2026-04-06","236","78.3","472","10","","2.5","2.6","1.40","0","78.3","-12.1","- |  - |  - |  -","","","","18.87","1.75","54","Pregnant","Vet ck-PG","2026-03-20","63","","4","2026-03-20","Pregnant","72","73","73","74","101.5","501","0","","10","380","102","103","South Milking Cows"
"57","3087322","DD1285","2026-04-06","133","75.0","176","26","","2.5","2.4","1.39","0","75.0","-7.7","- |  - |  - |  -","","","","20.11","2.77","","Female infertility","Vet ck-75+DIM-Fol left,stat right,off sync","2026-02-21","5","","1","","","73","71","0","72","101.1","501","0","","6","632","103","3","North Milking Cows"
"132","3087361","DD1311","","467","","320","6","","2.8","1.0","1.79","0","","-3.7","- |  - |  - |  -","","","","","","","Pregnant","","2025-10-17","221","","4","2025-10-17","Pregnant","80","75","87","72","99.3","501","0","x","14","395","101","8","Dry Cows"
"173","3542711","DD1321","2026-04-06","22","93.7","20","1","","2.9","3.7","1.15","0","93.7","-13.7","- |  - |  - |  -","2026-04-06","","","21.07","0.47","771","","","","","","","","","70","74","81","73","100.0","501","0","","5","605","102","103","South Milking Cows"
"73","3542905","DD1328","2026-04-06","196","70.3","315","8","","3.1","2.9","1.49","1","70.3","-9.5","- |  - |  - |  -","","","","15.77","0.26","996","Off sync program","Vet ck-open,fol left,stat right,offsync, Vet ck-open,fol left,stat right,offsync","2026-03-20","5","","2","2026-03-20","Not Pregnant","67","74","68","68","102.6","501","0","","-1","532","101","103","South Milking Cows"
"14","3087979","DD1332","2026-04-06","200","73.4","364","5","","2.3","3.1","1.22","0","73.4","-6.8","- |  - |  - |  -","","","","17.68","0.43","23","Pregnant","Vet ck-preg,twins reck 120D","2026-02-20","113","","1","2026-02-20","Pregnant","70","72","70","0","100.9","501","0","","10","539","102","103","South Milking Cows"
"182","6634654","DD1342","2026-04-06","220","67.9","454","7","","3.0","3.3","1.47","0","67.9","-20.3","- |  - |  - |  -","","","","20.36","0.35","219","Pregnant","Vet ck-preg","2026-02-20","113","","2","2026-02-20","Pregnant","71","75","72","0","101.3","501","0","","7","582","101","103","South Milking Cows"
"76","3087596","DD1349","2026-04-06","459","61.3","439","14","","2.6","2.7","1.50","3","61.3","-3.5","- |  - |  - |  -","","","","14.52","0.24","134","Pregnant","Vet ck-PG","2026-03-20","69","","8","2026-03-20","Pregnant","64","65","63","74","100.6","501","0","","9","457","102","103","South Milking Cows"
"110","3087310","DD1351","2026-04-06","249","78.7","90","9","","4.0","3.7","1.49","0","78.7","-12.6","- |  - |  - |  -","","","","16.43","0.36","412","Fertility cycling","Vet ck-57+DIM-LC right,lut,offsync in 3 days if no heat","2026-02-20","13","","2","","","0","69","68","76","102.2","501","0","","14","614","101","103","South Milking Cows"
"16","3087866","DD1357","2026-04-06","223","57.1","84","6","","2.5","2.3","1.17","0","57.1","-3.1","- |  - |  - |  -","","","","11.29","0.17","","Fertility cycling","Vet ck-75+DIM-Cl left,stat right, lut","2026-02-20","42","","1","","","73","74","76","0","101.1","501","0","","4","508","103","3","North Milking Cows"
"34","3086177","DD1364","2026-04-06","55","72.1","159","23","","1.5","1.9","1.28","1","72.1","7.5","- |  - |  [] Mastitis |  -","","","","10.71","0.17","2237","Dirty cow","","2026-02-21","","","","","","69","72","83","84","101.7","501","1","","24","527","101","103","South Milking Cows"
"77","3086851","DD1365","2026-04-06","47","65.7","77","2","","2.3","2.3","1.60","2","65.7","4.2","[M] Mastitis |  [M]  |  [M]  |  [M] ","2026-04-06","x","","11.37","0.17","2721","Dirty cow","","2026-03-20","","","","","","92","70","69","0","104.7","501","0","x","6","468","101","103","South Milking Cows"
"97","3088051","DD1373","","478","","141","92","x","3.0","0.0","0.00","110","","0.0","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg","2026-01-16","181","","6","2026-01-16","Pregnant","0","68","78","0","98.6","501","0","","1","301","101","1","Default"
"133","3087396","DD1374","2026-04-06","228","63.7","774","4","","1.8","2.1","1.23","0","63.7","-8.8","- |  - |  - |  -","","","","17.74","0.25","39","Fertility cycling","Vet ck-reck-clean,Cl left,lut","2025-11-21","42","","3","","","62","62","61","63","100.4","501","0","","7","491","102","103","South Milking Cows"
"142","3086184","DD1376","","533","","688","12","","2.1","1.3","1.98","2","","-5.7","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg","2025-09-19","245","","8","2025-09-19","Pregnant","81","74","71","66","98.8","501","0","x","11","548","102","8","Dry Cows"
"28","3087460","DD1380","2026-04-06","156","56.9","143","1","","2.7","2.6","1.38","0","56.9","-3.5","- |  - |  - |  -","","","","17.38","0.23","47","Female infertility","Vet ck-75+DIM-cyst right,offsync","2026-02-20","12","","","","","0","69","69","0","100.0","501","0","","12","496","102","103","South Milking Cows"
"31","3087281","DD1394","2026-04-06","105","89.1","57","5","","3.6","3.7","1.16","0","89.1","-4.0","- |  - |  - |  -","","","","18.15","0.43","544","","","","24","","1","","","67","75","70","71","98.8","501","0","","-2","402","102","103","South Milking Cows"
"40","3087510","DD1397","2026-04-06","135","88.6","311","4","","2.5","3.0","1.18","0","88.6","-6.4","- |  - |  - |  -","","","","13.93","0.28","381","","","","8","","","","","69","74","70","71","101.3","501","0","","2","491","101","103","South Milking Cows"
"35","3087215","DD1400","","379","","258","80","","2.5","1.6","1.61","0","","0.9","- |  - |  - |  -","","","","","","79","Pregnant","Vet ck-pg","2025-09-19","257","","2","2025-09-19","Pregnant","64","65","66","64","100.6","501","0","x","2","466","104","8","Dry Cows"
"111","3086497","DD1402","2026-04-06","353","64.6","276","26","","2.9","2.9","1.47","1","64.6","-11.2","- |  - |  - |  -","","","","16.07","0.28","619","Not Pregnant","Vet ck-preg ck-open,Stat left,stat right, off sync","2025-08-15","8","","3","2025-08-15","Not Pregnant","74","69","76","74","101.1","501","0","","13","574","101","103","South Milking Cows"
"80","3086149","DD1406","2026-04-06","328","58.6","104","59","","3.1","2.7","1.39","0","58.6","-1.1","- |  - |  - |  -","","","","12.86","0.33","1049","Pregnant","Vet ck-preg","2026-02-20","114","","5","2026-02-20","Pregnant","71","0","71","73","100.4","501","0","","7","480","102","103","South Milking Cows"
"116","3086998","DD1407","","374","","298","5","","2.8","1.4","1.40","0","","-2.9","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg","2025-09-19","266","x","1","2025-09-19","Pregnant","79","79","80","77","98.6","501","0","","10","456","101","8","Dry Cows"
"246","3086605","DD1411","","447","","470","15","","2.7","1.4","1.29","2","","8.8","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg","2025-09-19","263","x","2","2025-09-19","Pregnant","70","68","70","69","101.1","501","0","","10","485","103","8","Dry Cows"
"205","5925505","DD1413","2026-04-06","256","50.0","203","11","","2.5","2.4","1.51","0","50.0","-5.5","- |  - |  - |  -","2025-10-12","","","11.15","0.35","","Metritis","Vet ck-reck-clean","2025-09-20","38","","3","","","0","76","65","63","101.1","501","0","x","6","525","103","3","North Milking Cows"
"46","3351614","DD1415","2026-04-06","231","81.8","344","5","","2.4","3.4","1.21","0","81.8","-8.6","- |  - |  - |  -","2026-04-06","","","16.43","0.36","105","Pregnant","Vet ck-pg","2026-01-16","128","","2","2026-01-16","Pregnant","66","68","66","66","99.9","501","0","","4","515","102","103","South Milking Cows"
"149","3087997","DD1416","2026-04-06","327","54.9","276","20","","2.6","2.6","1.39","1","54.9","-8.4","- |  - |  - |  -","","","","12.77","1.37","","Pregnant","Vet ck-Pg","2025-11-21","185","","1","2025-11-21","Pregnant","67","70","72","67","101.1","501","0","","14","553","103","3","North Milking Cows"
"21","3087503","DD1420","2026-04-06","284","72.8","276","9","","2.8","2.9","1.44","0","72.8","-14.8","- |  - |  - |  -","","","","17.20","0.37","23","Pregnant","Vet ck-preg","2026-02-20","93","","4","2026-02-20","Pregnant","76","73","72","77","100.0","501","0","","3","445","102","103","South Milking Cows"
"63","3086272","DD1423","2026-04-06","327","54.2","77","15","","3.2","3.1","1.44","0","54.2","-6.0","- |  - |  - |  -","","","","13.63","0.28","256","Pregnant","Vet ck-preg","2026-02-20","114","","3","2026-02-20","Pregnant","75","67","66","79","99.9","501","0","","12","481","102","103","South Milking Cows"
"93","3086243","DD1425","2026-04-06","335","65.7","110","176","","3.2","3.7","1.38","2","65.7","-12.8","- |  - |  - |  -","","","","15.30","0.26","196","Off sync program","","2026-02-23","33","","6","2026-02-20","Not Pregnant","75","70","72","73","100.9","501","0","","2","506","102","103","South Milking Cows"
"83","6641288","DD1426","2026-04-06","210","85.3","236","10","","2.9","3.9","1.27","7","85.3","-11.2","- |  - |  - |  -","","","","18.39","0.38","53","Not Pregnant","vet ck-open,Fol left,stat right,watch,offsync if no heat by Mon.","2026-03-20","5","","3","2026-03-20","Not Pregnant","65","66","64","66","100.4","501","0","","5","620","102","103","South Milking Cows"
"92","3087516","DD1433","2026-04-06","184","86.0","395","7","","2.9","2.7","1.22","3","86.0","-7.3","[M]  |  [M]  |  [M]  |  [M] ","","x","","15.12","0.32","1259","Pregnant","Vet ck-preg","2026-02-20","93","","2","2026-02-20","Pregnant","0","80","81","75","102.4","501","0","","11","440","101","103","South Milking Cows"
"78","3087494","DD1435","2026-04-06","70","91.7","40","1","","3.1","3.4","1.13","0","91.7","-11.2","[M]  |  [M]  |  [M]  |  [M] ","","x","","19.70","0.37","2223","","","","","","","","","63","65","74","80","100.0","501","0","","14","452","102","103","South Milking Cows"
"103","3087255","DD1438","2026-04-06","22","116.6","7","1","","4.0","4.6","1.28","0","116.6","-13.4","- |  - |  - |  -","","","","22.62","0.54","45","","","","","","","","","0","69","69","67","102.2","501","0","","12","616","101","103","South Milking Cows"
"211","6641911","DD1440","2026-04-06","343","85.3","190","20","","3.1","3.3","1.41","0","85.3","-8.2","- |  - |  - |  -","","","","17.35","0.37","","Off sync program","","2026-02-23","34","","4","2026-01-16","Not Pregnant","74","75","75","74","101.3","501","0","","3","459","103","3","North Milking Cows"
"271","6642304","DD1441","2026-04-06","157","61.1","157","5","","2.5","2.4","1.36","0","61.1","-13.0","- |  - |  - |  -","","","","13.33","2.89","91","Metritis","Vet ck-dirty-clean,offsync","2026-02-20","8","","1","","","68","73","66","69","101.5","501","0","","12","522","101","103","South Milking Cows"
"115","3087667","DD1442","2026-04-06","4","54.7","0","0","","3.0","3.0","1.13","2","54.7","0.4","[M]  |  [M]  |  [M]  |  [M] ","","x","","5.48","0.08","","","","","","","","","","0","0","72","73","102.7","501","0","","10","486","102","103","South Milking Cows"
"123","3086581","DD1443","2026-04-06","310","45.2","476","6","","2.7","1.9","1.56","0","45.2","-7.1","- |  - |  - |  -","","","","6.63","1.62","","Pregnant","Vet ck-pg","2025-12-19","169","","1","2025-12-19","Pregnant","68","66","68","70","100.6","501","0","x","0","526","103","3","North Milking Cows"
"1063","","DD1444","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","Not Pregnant","Vet ck-open","2023-09-01","1014","","1","2023-09-01","Not Pregnant","","","","","","501","","","","","","11","Young stock"
"139","3087241","DD1445","2026-04-06","240","57.3","659","2","","2.7","2.3","1.15","1","57.3","-5.3","- |  - |  - |  -","","","","15.03","0.19","","Pregnant","Vet ck-pg,twins,reck @ 120D","2025-12-19","170","","1","2025-12-19","Pregnant","78","79","76","78","101.1","501","0","","14","534","104","3","North Milking Cows"
"268","6641401","DD1446","2026-04-06","298","70.8","108","17","","3.7","4.0","1.13","7","70.8","-15.2","- |  - |  - |  -","","","","16.85","0.39","52","Pregnant","Vet ck-preg","2026-02-20","120","","3","2026-02-20","Pregnant","63","64","65","65","100.4","501","0","","13","526","102","103","South Milking Cows"
"71","3087258","DD1447","2026-04-06","369","88.8","137","15","","3.7","4.3","1.34","0","88.8","-11.9","- |  - |  - |  -","","","","16.37","0.45","56","Dirty cow","Vet ck-Fresh,dirty,vac,lut,10,1 mo.","2025-05-17","49","","6","","","66","68","68","68","100.0","501","0","","6","439","102","103","South Milking Cows"
"6","3087355","DD1449","2026-04-06","323","88.2","337","6","","2.7","3.0","1.34","0","88.2","-11.2","- |  - |  - |  -","","","","17.02","0.32","30","Fertility cycling","Vet ck-pg-open,stat left,CL right,lut, Vet ck-pg-open,stat left,CL right,lut","2026-02-20","42","","3","2026-02-20","Not Pregnant","64","65","63","65","100.6","501","0","","6","485","102","103","South Milking Cows"
"56","3086452","DD1453","2026-04-06","226","48.1","604","5","","2.1","2.0","1.45","0","48.1","-10.8","- |  - |  - |  -","","","","12.20","1.81","110","Pregnant","Vet ck-pg","2026-01-16","150","","1","2026-01-16","Pregnant","66","69","76","81","103.3","501","0","","14","418","101","103","South Milking Cows"
"222","6632589","DD1455","2026-04-06","235","80.9","146","4","","2.8","3.3","1.46","0","80.9","-11.9","- |  - |  - |  -","","","","14.52","0.37","513","","","","40","","4","","","82","70","69","69","101.1","501","0","","4","408","101","103","South Milking Cows"
"1081","","DD1459","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","501","","","","","","11","Young stock"
"45","3086129","DD1462","","332","","99","4","","2.7","1.9","1.44","0","","-5.3","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg","2025-09-19","258","","1","2025-09-19","Pregnant","72","71","77","72","96.6","501","0","","7","439","104","8","Dry Cows"
"269","6642024","DD1463","","654","","269","61","","3.0","2.6","1.47","0","","-7.1","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-preg ck- pg","2025-08-15","280","x","5","2025-08-15","Pregnant","68","69","80","67","99.5","501","0","","14","351","104","8","Dry Cows"
"143","3183515","DD1467","2026-04-06","236","77.8","353","8","","2.9","3.6","1.46","1","77.8","-12.3","- |  - |  - |  -","","","","18.69","0.30","110","Fertility cycling","Vet ck-57+DIM-stat left,CL right, lut, offsync in 3 days if no heat","2026-02-20","19","","2","","","67","70","69","70","99.9","501","0","","11","531","102","103","South Milking Cows"
"199","6633146","DD1470","2026-04-06","204","99.6","710","22","","2.8","3.0","1.28","0","99.6","-9.7","- |  - |  - |  -","","","","17.80","0.29","485","Pregnant","Vet ck-preg","2026-02-20","112","","1","2026-02-20","Pregnant","62","66","64","65","102.7","501","0","","10","501","101","103","South Milking Cows"
"23","3087231","DD1471","2026-04-06","364","54.9","126","9","","3.9","3.3","1.38","0","54.9","-13.7","- |  - |  - |  -","","","","14.96","0.23","","Pregnant","Vet ck-Pg","2025-11-21","196","","1","2025-11-21","Pregnant","61","60","64","65","99.5","501","0","","4","532","104","3","North Milking Cows"
"69","3087141","DD1473","2026-04-06","320","89.9","238","15","","3.3","4.3","1.22","0","89.9","-10.4","- |  - |  - |  -","","","","19.11","0.39","48","Pregnant","Vet ck-preg","2026-02-20","120","","3","2026-02-20","Pregnant","77","73","72","72","101.8","501","0","","1","582","101","103","South Milking Cows"
"127","3086217","DD1474","2026-04-06","202","58.0","516","6","","1.9","2.1","1.29","1","58.0","-2.9","- |  - |  - |  -","","","","13.39","2.26","146","Not Pregnant","Vet ck-pg-open,cyst right, off sync","2026-02-20","8","","2","2026-02-20","Not Pregnant","68","68","70","66","101.5","501","0","","0","472","101","103","South Milking Cows"
"94","3087594","DD1476","2026-04-06","193","68.6","659","4","","2.0","2.4","1.18","0","68.6","-7.7","- |  - |  - |  -","","","","13.33","3.17","125","Female infertility","Vet ck-57+DIM-stat left stat right, offsync","2026-02-20","5","","1","","","64","65","65","64","101.1","501","0","","0","544","102","103","South Milking Cows"
"26","3087118","DD1478","2026-04-06","242","95.7","240","144","x","2.9","2.9","1.16","1","95.7","-15.2","- |  - |  - |  -","2025-10-27","","","16.96","1.28","9","Pregnant","Vet ck-pg","2025-12-19","158","","3","2025-12-19","Pregnant","68","70","69","0","100.8","501","0","","26","395","101","103","South Milking Cows"
"108","3542732","DD1479","2026-04-06","234","84.4","445","17","","2.5","2.7","1.35","0","84.4","-14.1","- |  - |  - |  -","","","","18.87","0.26","41","Pregnant","Vet ck-preg","2026-02-20","105","","1","2026-02-20","Pregnant","70","73","71","74","99.9","501","0","","6","484","102","103","South Milking Cows"
"202","3087167","DD1480","2026-04-06","101","69.7","302","6","","2.6","2.0","1.35","0","69.7","-20.7","- |  - |  - |  -","","","","12.20","5.41","525","","","","64","","","","","66","68","69","67","101.1","501","0","","3","301","102","103","South Milking Cows"
"162","5926949","DD1482","2026-04-06","205","71.6","106","51","","2.7","2.9","1.30","1","71.6","-7.9","- |  - |  - |  -","","","","16.49","0.34","21","Pregnant","Vet ck-preg","2026-02-20","105","","1","2026-02-20","Pregnant","72","78","76","73","100.4","501","0","","10","521","102","103","South Milking Cows"
"152","3353711","DD1484","2026-04-06","85","99.4","203","15","","2.5","3.1","1.56","0","99.4","-5.7","- |  - |  - |  -","","","","16.23","0.27","","","","","19","","1","","","67","71","71","69","99.9","501","0","x","10","530","104","3","North Milking Cows"
"1108","","DD1485","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","501","","","","","","11","Young stock"
"124","3087250","DD1486","2026-04-06","218","67.7","150","13","","2.8","3.0","1.58","3","67.7","-10.8","- |  - |  - |  -","","","","19.52","0.30","52","Pregnant","Vet ck-pg","2026-01-16","131","","1","2026-01-16","Pregnant","64","68","65","67","100.6","501","0","x","8","414","102","103","South Milking Cows"
"98","3087882","DD1487","2026-04-06","111","113.3","348","1","","3.1","3.0","1.18","0","113.3","-9.3","- |  - |  - |  -","","","","19.17","0.31","46","","","","8","","2","","","70","72","70","70","101.7","501","0","","14","561","102","103","South Milking Cows"
"49","3086283","DD1488","","364","","174","8","","3.0","2.0","1.31","0","","-2.6","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg","2025-09-19","266","x","1","2025-09-19","Pregnant","66","65","68","66","101.5","501","0","","8","498","103","8","Dry Cows"
"151","3086706","DD1489","","","0.0","","0","","","","0.00","0","0.0","0.0","- |  - |  - |  -","","","","","","","Female infertility","Vet ck-fertility ck-watch for heat","2025-09-19","109","","1","","","","","","","","501","0","","14","440","","1","Default"
"24","3086116","DD1490","2026-04-06","123","86.6","84","8","","3.3","3.4","1.24","2","86.6","-8.2","- |  - |  - |  -","","","","19.17","0.34","119","Fertility cycling","Vet ck-75+DIM-Cl left,stat right, lut","2026-02-20","21","","2","","","74","81","75","75","101.1","501","0","","14","536","101","103","South Milking Cows"
"95","3086498","DD1493","2026-04-06","279","59.5","320","21","","3.1","2.6","1.75","4","59.5","-12.1","- |  - |  - |  -","2025-10-29","","","15.36","0.30","129","Pregnant","Vet ck-Pg","2025-11-21","195","","1","2025-11-21","Pregnant","69","68","67","67","102.0","501","0","x","4","524","101","103","South Milking Cows"
"32","3087545","DD1494","2026-04-06","106","104.3","57","7","","3.7","4.1","1.20","0","104.3","-7.9","- |  - |  - |  -","","","","21.43","0.47","40","","","","38","","1","","","59","67","59","60","100.0","501","0","","7","541","102","103","South Milking Cows"
"47","3087308","DD1495","2026-04-06","45","123.2","26","4","","4.4","4.3","1.03","3","123.2","-22.9","- |  - |  - |  -","","","","23.57","0.65","33","Dirty cow","","2026-03-20","","","","","","65","66","65","66","100.0","501","0","","3","593","101","103","South Milking Cows"
"234","6635136","DD1496","2026-04-06","196","83.1","137","5","","3.0","3.9","1.22","0","83.1","-7.3","- |  - |  - |  -","","","","17.50","0.36","33","Pregnant","Vet ck-preg","2026-02-20","106","","1","2026-02-20","Pregnant","64","66","64","66","100.0","501","2","","6","501","101","103","South Milking Cows"
"250","6635110","DD1500","2026-04-06","244","51.1","185","5","","2.1","2.3","1.37","0","51.1","-4.9","- |  - |  - |  -","","","","10.44","0.21","","Off sync program","","2026-01-19","8","","2","2025-12-19","Not Pregnant","70","72","74","72","99.3","501","0","","2","590","103","3","North Milking Cows"
"72","3087950","DD1501","2026-04-06","55","91.7","46","2","","2.6","2.7","1.01","0","91.7","2.4","- |  - |  - |  -","","","","17.14","0.33","30","","","","7","","","","","73","74","76","74","101.7","501","0","","8","374","102","103","South Milking Cows"
"125","3087179","DD1502","2026-04-06","345","36.2","245","16","","2.7","1.7","1.31","0","36.2","-6.4","- |  - |  - |  -","","","","10.09","0.91","","Pregnant","Vet ck-Pg","2025-11-21","200","","1","2025-11-21","Pregnant","66","67","66","65","100.4","501","0","","-3","428","104","3","North Milking Cows"
"50","3086511","DD1503","2026-04-06","265","62.4","79","55","","3.1","3.0","1.34","0","62.4","-5.7","- |  - |  - |  -","","","","17.50","0.27","","Pregnant","Vet ck-PG","2026-03-20","69","","3","2026-03-20","Pregnant","70","0","72","70","101.1","501","0","","6","555","103","3","North Milking Cows"
"172","3351267","DD1505","2026-04-06","243","56.2","187","3","","2.9","2.9","1.27","0","56.2","-11.7","- |  - |  - |  -","","","","15.38","0.21","","Pregnant","Vet ck-pg","2026-01-16","148","","1","2026-01-16","Pregnant","69","70","70","71","100.8","501","0","","5","434","104","3","North Milking Cows"
"220","6633304","DD1506","","417","","108","70","","2.9","1.9","1.62","1","","-4.2","- |  - |  - |  -","","","","","","","Pregnant","Vet ck-pg","2025-09-19","245","","3","2025-09-19","Pregnant","68","61","63","62","101.3","501","0","x","4","476","103","1","Default"
"213","6635043","DD1507","2026-04-06","265","64.8","121","10","","3.0","3.0","1.32","0","64.8","-8.4","- |  - |  - |  -","","","","12.98","0.24","","Pregnant","Vet ck-PG","2026-03-20","58","","4","2026-03-20","Pregnant","68","68","72","69","99.5","501","0","","8","544","104","3","North Milking Cows"
"53","3086247","DD1508","2026-04-06","271","81.6","146","15","","2.9","2.9","1.24","0","81.6","-3.1","- |  - |  - |  -","","","","14.64","0.21","24","Pregnant","Vet ck-PG","2026-03-20","64","","4","2026-03-20","Pregnant","70","72","71","72","100.9","501","0","","12","498","102","103","South Milking Cows"
"55","3183487","DD1510","2026-04-06","279","39.7","229","6","","2.4","2.0","1.28","1","39.7","-4.2","- |  - |  - |  -","","","","11.64","1.07","","Pregnant","Vet ck-pg","2025-12-19","158","","1","2025-12-19","Pregnant","67","68","68","70","101.5","501","0","","5","383","103","3","North Milking Cows"
"214","6635135","DD1511","2026-04-06","297","62.2","115","3","","3.6","3.0","1.33","0","62.2","-8.8","- |  - |  - |  -","","","","15.45","0.17","","Pregnant","Vet ck-pg","2025-12-19","162","","2","2025-12-19","Pregnant","71","71","72","72","101.7","501","0","","4","540","103","3","North Milking Cows"
"1141","","DD1512","","","0.0","","","","","","0.00","","0.0","0.0","- |  - |  - |  -","","","","","","","","","","","","","","","","","","","","501","","","","","","11","Young stock"
"183","3087417","DD1513","2026-04-06","267","75.6","119","13","","3.3","3.7","1.41","0","75.6","-11.9","- |  - |  - |  -","","","","19.19","0.34","","Pregnant","Vet ck-preg","2026-02-20","95","","3","2026-02-20","Pregnant","71","71","77","74","99.9","501","0","","13","500","104","3","North Milking Cows"
